id,tipo,titulo,diretor,elenco,pais,adicionado_em,ano_lancamento,classificacao,genero,data_lancamento,duracao_em_min,temporadas,estacao
s42,Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton",US,2021-09-16,1975,10,"Action & Adventure, Classic Movies, Dramas",1975-06-20,124.0,,Inverno
s43,Movie,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer",US,2021-09-16,1978,10,"Dramas, Horror Movies, Thrillers",1978-06-16,116.0,,Inverno
s44,Movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch",US,2021-09-16,1983,10,"Action & Adventure, Horror Movies, Thrillers",1983-07-22,98.0,,Inverno
s45,Movie,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Michael Caine, Karen Young",US,2021-09-16,1987,12,"Action & Adventure, Horror Movies, Thrillers",1987-07-17,91.0,,Inverno
s46,Movie,My Heroes Were Cowboys,Tyler Greco,Robin Wiltshire,US,2021-09-16,2021,10,Documentaries,2021-09-16,23.0,,Primavera
s47,Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard",US,2021-09-16,2012,16,Action & Adventure,2012-02-08,115.0,,Verão
s48,TV Show,The Smart Money Woman,Não Informado,Não Informado,NG,2021-09-16,2020,18,"International TV Shows, Romantic TV Shows, TV Comedies",2020-11-30,,1.0,Primavera
s49,Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin",US,2021-09-16,2001,16,"Dramas, Thrillers",2001-10-05,122.0,,Primavera
s50,TV Show,Castle and Castle,Não Informado,"Dakore Egbuson-Akande, Richard Mofe-Damijo",NG,2021-09-15,2021,18,"International TV Shows, TV Dramas",2018-06-21,,2.0,Inverno
s51,TV Show,Dharmakshetra,Não Informado,Não Informado,IN,2021-09-15,2014,10,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",2014-11-19,,1.0,Primavera
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe",JP,2021-09-15,2002,14,"Action & Adventure, Anime Features, International Movies",2002-12-22,99.0,,Verão
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe",JP,2021-09-15,2003,14,"Action & Adventure, Anime Features, International Movies",2003-12-20,99.0,,Verão
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe",JP,2021-09-15,2004,10,"Action & Adventure, Anime Features, International Movies",2004-12-23,88.0,,Verão
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe",JP,2021-09-15,2001,10,"Action & Adventure, Anime Features, International Movies",2001-12-15,100.0,,Verão
s56,TV Show,Nailed It,Não Informado,Não Informado,DE,2021-09-15,2021,10,Reality TV,2020-01-17,,6.0,Verão
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Mie Sonozaki, Masaki Terasoma, Chie Nakamura, Rikiya Koyama",JP,2021-09-15,2011,14,"Action & Adventure, Anime Features, International Movies",2011-07-30,102.0,,Inverno
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Unsho Ishizuka, Motoko Kumai",JP,2021-09-15,2008,10,"Action & Adventure, Anime Features, International Movies",2008-08-02,93.0,,Inverno
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Romi Park, Satoshi Hino",JP,2021-09-15,2009,10,"Action & Adventure, Anime Features, International Movies",2009-08-01,96.0,,Inverno
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Yōichi Masukawa, Koichi Tochika, Ayumi Fujimura",JP,2021-09-15,2007,10,"Action & Adventure, Anime Features, International Movies",2007-08-04,95.0,,Inverno
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Kazuhiko Inoue, Toshiyuki Morikawa, Chie Nakamura, Satoshi Hino",JP,2021-09-15,2010,14,"Action & Adventure, Anime Features, International Movies",2010-07-31,85.0,,Inverno
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Chie Nakamura, Gaamon Kai, Akira Ishida, Showtaro Morikubo",JP,2021-09-15,2005,10,"Action & Adventure, Anime Features, International Movies",2005-08-06,97.0,,Inverno
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,"Junko Takeuchi, Chie Nakamura, Yōichi Masukawa, Kazuhiko Inoue, Akio Otsuka",JP,2021-09-15,2006,10,"Action & Adventure, Anime Features, International Movies",2006-08-05,95.0,,Inverno
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Kazuhiko Inoue, Hidehiko Ishizuka",JP,2021-09-15,2004,10,"Action & Adventure, Anime Features, International Movies",2004-08-21,83.0,,Inverno
s65,Movie,Nightbooks,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter, Jill Frappier, Neil Emmanuel Lu","CA, US",2021-09-15,2021,10,Children & Family Movies,2021-09-15,103.0,,Primavera
s66,TV Show,Numberblocks,Não Informado,Não Informado,US,2021-09-15,2021,Livre,Kids' TV,2022-02-14,,6.0,Verão
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,Não Informado,"Manwendra Tripathy, Dr Pushpesh Pant",IN,2021-09-15,2014,Livre,"Docuseries, International TV Shows",2014-01-01,,1.0,Verão
s68,TV Show,Saved by the Bell,Não Informado,"Dennis Haskins, Dustin Diamond, Lindsey McKeon, Ashley Tesoro, Tom Wade Huntington",US,2021-09-15,1994,10,"Kids' TV, TV Comedies",1993-09-11,,9.0,Primavera
s69,Movie,Schumacher,Vanessa Nöcker,"Mick Schumacher, Corinna Schumacher, Ralf Schumacher, Rolf Schumacher, Gina Schumacher",DE,2021-09-15,2021,14,"Documentaries, International Movies, Sports Movies",2021-09-14,113.0,,Primavera
s70,TV Show,Stories by Rabindranath Tagore,Não Informado,Radhika Apte,IN,2021-09-15,2015,10,"International TV Shows, TV Dramas",2015-07-06,,1.0,Inverno
s71,TV Show,Too Hot To Handle: Latino,Não Informado,"Itatí Cantoral, Caro Mendoza, Manuela Angel, Zaira de la Morena, Lilian Dg",MX,2021-09-15,2021,18,"International TV Shows, Reality TV, Romantic TV Shows",2021-09-15,,1.0,Primavera
s72,Movie,A StoryBots Space Adventure,David A. Vargas,"Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee",Não Informado,2021-09-14,2021,Livre,Children & Family Movies,2021-11-09,13.0,,Primavera
s73,TV Show,Jack Whitehall: Travels with My Father,Não Informado,Não Informado,Não Informado,2021-09-14,2021,18,"British TV Shows, Docuseries, International TV Shows",,,5.0,Não informado
s74,Movie,King of Boys,Kemi Adetiba,"Sola Sobowale, Remilekun Reminisce Safaru, Paul Sambo, IllBliss, Toni Tones",NG,2021-09-14,2018,18,"Dramas, International Movies",2018-10-26,182.0,,Primavera
s75,TV Show,The World's Most Amazing Vacation Rentals,Não Informado,"Jo Franco, Megan Batoon, Luis D. Ortiz",US,2021-09-14,2021,10,Reality TV,2021-06-18,,2.0,Inverno
s76,Movie,You vs. Wild: Out Cold,Ben Simms,"Bear Grylls, Jason Derek Prempeh",Não Informado,2021-09-14,2021,Livre,Children & Family Movies,2021-09-14,106.0,,Primavera
s77,TV Show,Yowamushi Pedal,Não Informado,"Daiki Yamashita, Kohsuke Toriumi, Hiroki Yasumoto, Kentaro Ito, Daisuke Kishio",JP,2021-09-14,2013,14,"Anime Series, International TV Shows",2013-10-07,,1.0,Primavera
s78,Movie,Little Singham - Black Shadow,Prakash Satam,Não Informado,Não Informado,2021-09-11,2021,10,"Children & Family Movies, Comedies",2021-05-09,48.0,,Outono
s79,Movie,Tughlaq Durbar,Delhi Prasad Deenadayal,"Vijay Sethupathi, R. Parthiban, Raashii Khanna, Manjima Mohan, Karunakaran",IN,2021-09-11,2020,14,"Comedies, Dramas, International Movies",2021-09-10,145.0,,Primavera
s80,Movie,Tughlaq Durbar (Telugu),Não Informado,Não Informado,Não Informado,2021-09-11,2021,14,"Comedies, Dramas, International Movies",,145.0,,Não informado
s81,Movie,Firedrake the Silver Dragon,Tomer Eshed,"Thomas Brodie-Sangster, Freddie Highmore, Felicity Jones, Patrick Stewart, Sanjeev Bhaskar","BE, DE",2021-09-10,2021,10,Children & Family Movies,2020-10-13,93.0,,Primavera
s82,Movie,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Miku Martineau, Woody Harrelson, Tadanobu Asano, Jun Kunimura","US, JP",2021-09-10,2021,16,Action & Adventure,2021-09-10,106.0,,Primavera
s83,TV Show,Lucifer,Não Informado,"Junya Enoki, Naomi Ohzora, Kenjiro Tsuda, Azusa Tadokoro, Moeha Nochimoto",JP,2021-09-10,2021,14,"Crime TV Shows, TV Comedies, TV Dramas",2022-07-09,,6.0,Inverno
s84,TV Show,Metal Shop Masters,Não Informado,"Jo Koy, Rae Ripple",US,2021-09-10,2021,18,Reality TV,2021-09-10,,1.0,Primavera
s85,Movie,Omo Ghetto: the Saga,Funke Akindele,"Funke Akindele, Chioma Chukwuka Akpotha, Eniola Badmus, Bimbo Thomas, Akah Nnani",NG,2021-09-10,2020,18,"Action & Adventure, Comedies, Dramas",2020-12-25,147.0,,Verão
s86,TV Show,Pokémon Master Journeys: The Series,Não Informado,Não Informado,Não Informado,2021-09-10,2021,10,"Anime Series, Kids' TV",,,1.0,Não informado
s87,Movie,Prey,Dan Trachtenberg,"Amber Midthunder, Dakota Beavers, Michelle Thrush, Stormee Kipp, Julian Black Antelope",US,2021-09-10,2021,18,"International Movies, Thrillers",2022-08-02,87.0,,Inverno
s88,TV Show,Titipo Titipo,Não Informado,Não Informado,KR,2021-09-10,2019,Livre,"Kids' TV, Korean TV Shows",2018-01-01,,2.0,Verão
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus A. Clarke,"Malcolm X, Muhammad Ali, Elijah Muhammad, Al Sharpton, Cornel West","US, GB",2021-09-09,2021,12,"Documentaries, Sports Movies",2021-09-08,96.0,,Primavera
s90,TV Show,Mighty Raju,Não Informado,"Anamaya Verma, Rajesh Kava, Jigna Bhardwaj, Sabina Malik Mausam, Julie Tejwani",IN,2021-09-09,2017,10,Kids' TV,2015-02-18,,4.0,Verão
s91,Movie,Paradise Hills,Alice Waddington,"Emma Roberts, Eiza González, Milla Jovovich, Danielle Macdonald, Awkwafina","ES, US",2021-09-09,2019,18,"Sci-Fi & Fantasy, Thrillers",2019-08-29,95.0,,Inverno
s92,Movie,The Women and the Murderer,Mona Achache,Não Informado,FR,2021-09-09,2021,14,"Documentaries, International Movies",2021-09-09,92.0,,Primavera
s93,TV Show,Into the Night,Não Informado,"Pauline Étienne, Laurent Capelluto, Jan Bijvoet, Mehmet Kurtuluş, Alba Gaïa Bellugi",BE,2021-09-08,2021,18,"International TV Shows, TV Dramas, TV Mysteries",2020-05-01,,2.0,Outono
s94,Movie,JJ+E,Alexis Almström,"Mustapha Aarab, Elsa Öhrn, Magnus Krepper, Marika Lagercrantz, Simon Mezher",SE,2021-09-08,2021,18,"Dramas, International Movies, Romantic Movies",2021-09-08,91.0,,Primavera
s95,Movie,Show Dogs,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne, Jordin Sparks, Gabriel Iglesias","GB, US",2021-09-08,2018,10,"Children & Family Movies, Comedies",2018-05-18,90.0,,Outono
s96,TV Show,The Circle,Não Informado,Michelle Buteau,US,2021-09-08,2021,18,Reality TV,2020-01-01,,3.0,Verão
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zant, Johnny Van Zant, Gary Rossington, Edward King, Artimus Pyle",US,2021-09-07,2018,18,"Documentaries, Music & Musicals",2018-03-13,97.0,,Outono
s98,TV Show,Kid Cosmic,Não Informado,"Jack Fisher, Bennett Abara, Lily Rose Silver",US,2021-09-07,2021,10,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",2021-02-02,,2.0,Verão
s99,TV Show,Octonauts: Above & Beyond,Não Informado,Não Informado,GB,2021-09-07,2021,Livre,"British TV Shows, Kids' TV",2021-09-07,,1.0,Primavera
s100,TV Show,On the Verge,Não Informado,"Julie Delpy, Sarah Jones, Elisabeth Shue, Alexia Landeau",FR,2021-09-07,2021,18,"TV Comedies, TV Dramas",2021-09-06,,1.0,Primavera
s101,TV Show,Tobot Galaxy Detectives,Não Informado,Não Informado,KR,2021-09-07,2019,10,Kids' TV,2021-09-07,,2.0,Primavera
s102,Movie,Untold: Breaking Point,Chapman Way,"Mardy Fish, Andy Roddick, Andre Agassi, Novak Đoković, Roger Federer",US,2021-09-07,2021,18,"Documentaries, Sports Movies",2021-09-07,80.0,,Primavera
s103,TV Show,Countdown: Inspiration4 Mission to Space,Não Informado,"Sian Proctor, Hayley Arceneaux, Jared Isaacman, Christopher Sembroski",US,2021-09-06,2021,14,"Docuseries, Science & Nature TV",2021-09-06,,1.0,Primavera
s104,Movie,Shadow Parties,Yemi Amodu,"Jide Kosoko, Omotola Jalade-Ekeinde, Yemi Blaq, Sola Sobowale, Ken Erics",Não Informado,2021-09-06,2020,18,"Dramas, International Movies, Thrillers",2021-09-06,117.0,,Primavera
s105,TV Show,Tayo the Little Bus,Não Informado,Não Informado,Não Informado,2021-09-06,2016,Livre,"Kids' TV, Korean TV Shows",,,2.0,Não informado
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,"Antony Varghese, Sarath Kumar, Tito Wilson, Bitto Davis, Sinoj Varghese",IN,2021-09-05,2017,14,"Action & Adventure, Comedies, Dramas",2017-03-03,128.0,,Outono
s107,TV Show,Bunk'd,Não Informado,Não Informado,Não Informado,2021-09-05,2021,Livre,"Kids' TV, TV Comedies",,,5.0,Não informado
s108,Movie,A Champion Heart,David de Vos,"Devan Key, Ryan O'Quinn, Donna Rusch, Ariana Guido, James Mulligan",US,2021-09-04,2018,Livre,"Children & Family Movies, Dramas",2018-06-09,90.0,,Inverno
s109,TV Show,Dive Club,Não Informado,"Georgia-May Davis, Mercy Cornwall, Aubri Ibrag, Sana'a Shaik, Miah Madden",AU,2021-09-03,2021,Livre,"Kids' TV, TV Dramas, Teen TV Shows",2021-05-29,,1.0,Outono
s110,TV Show,La casa de papel,Não Informado,"Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso, Jesús Colmenar",ES,2021-09-03,2021,18,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2021-09-03,,5.0,Primavera
s111,TV Show,Money Heist: From Tokyo to Berlin,Não Informado,"Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso, Jesús Colmenar",ES,2021-09-03,2021,18,"Docuseries, International TV Shows, Spanish-Language TV Shows",2021-09-03,,1.0,Primavera
s112,TV Show,Sharkdog,Não Informado,"Dee Bradley Baker, Liam Mitchell, Kari Wahlgren, Judy Alice Lee, Liz Burnette",SG,2021-09-03,2021,Livre,Kids' TV,2021-09-03,,1.0,Primavera
s113,Movie,Worth,Sara Colangelo,"Michael Keaton, Amy Ryan, Stanley Tucci, Tate Donovan, Shunori Ramanathan","CA, GB, US",2021-09-03,2021,12,Dramas,2021-07-21,119.0,,Inverno
s114,Movie,Afterlife of the Party,Stephen Herek,"Victoria Justice, Midori Francis, Robyn Scott, Adam Garcia, Timothy Renouf",US,2021-09-02,2021,10,"Comedies, Romantic Movies",2021-09-02,110.0,,Primavera
s115,Movie,Anjaam,Rahul Rawail,"Shah Rukh Khan, Madhuri Dixit, Deepak Tijori, Johny Lever, Himani Shivpuri",IN,2021-09-02,1994,14,"Dramas, International Movies, Thrillers",1994-04-22,143.0,,Outono
s116,Movie,Bright Star,Jane Campion,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin","AU, GB",2021-09-02,2009,10,"Dramas, Romantic Movies",2009-09-18,119.0,,Primavera
s117,Movie,Dhanak,Nagesh Kukunoor,"Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Daniel Vincent Gordh",IN,2021-09-02,2015,10,"Comedies, Dramas, Independent Movies",2015-02-02,114.0,,Verão
s118,Movie,Final Account,Luke Holland,Não Informado,"GB, US",2021-09-02,2021,12,Documentaries,2021-05-21,94.0,,Outono
s119,Movie,Gurgaon,Shanker Raman,"Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Shalini Vatsa, Aamir Bashir",IN,2021-09-02,2017,14,"Dramas, International Movies, Thrillers",2017-08-04,106.0,,Inverno
s120,Movie,Here and There,Komitsu Fujihata,Não Informado,JP,2021-09-02,2020,18,"Dramas, International Movies, Romantic Movies",2017-03-17,99.0,,Outono
s121,TV Show,Heroes of Goo Jit Zu,Não Informado,"Jon Allen, Kellen Goff, Joe Hernandez, Kaiji Tang, Joe J. Thomas",Não Informado,2021-09-02,2021,10,"Kids' TV, TV Comedies",2019-06-27,,1.0,Inverno
s122,TV Show,Hotel Del Luna,Não Informado,"IU, Yeo Jin-goo, Shin Jung-keun, Bae Hae-seon, Pyo Ji-hoon",KR,2021-09-02,2019,14,"International TV Shows, Romantic TV Shows, TV Comedies",2019-07-12,,1.0,Inverno
s123,Movie,In the Cut,Jane Campion,"Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh, Nick Damici, Sharrieff Pugh","GB, US",2021-09-02,2003,16,Thrillers,2003-10-22,118.0,,Primavera
s124,TV Show,Luv Kushh,Não Informado,Não Informado,Não Informado,2021-09-02,2012,10,Kids' TV,,,1.0,Não informado
s125,TV Show,Pororo - The Little Penguin,Não Informado,Não Informado,Não Informado,2021-09-02,2013,10,"Kids' TV, Korean TV Shows",,,3.0,Não informado
